Planet_Name,Planet_Detection_Method,Planet_Mass,Planet_Radius,Planet_Period,Planet_Semimajor_Axis,Planet_Gravity,Planet_Density,Planet_Hill_Sphere,Planet_Distance,Planet_Periastron,Planet_Apastron,Planet_Flux,Planet_Equilibrium_Temperature,Planet_Surface_Temperature,Planet_Type,Planet_Habitability_Zone_Location,Planet_Temperature_Type,Planet_Habitability,Planet_Earth_Similarity_Index,Star_Name,Star_Magnitude,Star_Distance,Star_Temperature,Star_Mass,Star_Radius,Star_Temperature_Type,Star_Luminosity,Star_Snow_Line
TOI-904 c,Transit,5.34,2.167,83.9997,0.312,1.1371649,0.52476459,0.0066179617,0.312,0.312,0.312,0.52443397,216.7816,244.82075,Superterran,1,Warm,2,0.65860318,TOI-904,12.588,46.0891,3770.2,0.56,0.53,M,0.0510505,0.61004766
TOI-700 e,Transit,0.818,0.953,27.80978,0.134,0.90067374,0.94509312,0.0015751225,0.13423323,0.126094,0.141906,1.2780493,270.67786,305.68811,Terran,1,Warm,1,0.91203186,TOI-700,13.151,31.1265,3459,0.42,0.42,M,0.022908677,0.40866154
TOI-700 d,Transit,1.25,1.073,37.42396,0.1633,1.0857018,1.0118377,0.0022509051,0.16344403,0.1564414,0.1701586,0.85982688,245.2216,276.93926,Terran,1,Warm,1,0.94117592,TOI-700,13.151,31.1265,3459,0.42,0.42,M,0.022908677,0.40866154
GJ 357 d,Radial Velocity,6.1,2.34,55.661,0.204,1.1140332,0.47608255,0.0053419406,0.204,0.204,0.204,0.38259533,200.34782,226.26138,Superterran,1,Warm,2,0.57551752,GJ 357,10.91,9.44181,3505,0.34,0.34,M,0.015922087,0.34069343
GJ 3293 d,Radial Velocity,7.6,2.67,48.1345,0.19394,1.0660831,0.39928207,0.0044818441,0.19533637,0.1706672,0.2172128,0.5885927,222.52235,251.30403,Superterran,1,Warm,2,0.6297766,GJ 3293,11.945,20.1903,3466,0.42,0.4,M,0.021978599,0.40027988
GJ 180 c,Radial Velocity,6.4,2.41,24.329,0.129,1.1019094,0.45722382,0.0028883746,0.12952245,0.11739,0.14061,0.7844886,239.37816,270.34001,Superterran,1,Warm,2,0.69540275,GJ 180,10.914,11.9407,3371,0.43,0.41,M,0.013001696,0.30786744
GJ 433 d,Radial Velocity,5.223,2.14,36.059,0.178,1.1404926,0.53294048,0.0036692823,0.1784361,0.16554,0.19046,1.0598066,258.2299,291.6301,Superterran,1,Warm,2,0.74246005,GJ 433,9.81,9.06456,3461,0.48,0.47,M,0.033496544,0.49415565
LP 890-9 c,Transit,25.3,1.367,8.457463,0.03984,13.538903,9.9040991,0.0023718343,0.03984,0.03984,0.03984,0.90857617,248.70817,280.87679,Terran,1,Warm,1,0.88525109,LP 890-9,18,32.4298,2850,0.12,0.16,M,0.0014421154,0.10253302
LHS 1140 b,Transit,5.6,1.73,24.73723,0.0946,1.8710949,1.0815578,0.0028481323,0.094687458,0.0905322,0.0986678,0.4252258,205.63826,232.23611,Superterran,1,Warm,2,0.65784339,LHS 1140,14.15,14.9861,3096,0.18,0.22,M,0.003801894,0.16648065
Teegarden's Star b,Radial Velocity,1.16,1.05,4.90634,0.0259,1.0521542,1.0020516,0.00056886526,0.025911655,0.025123,0.026677,1.0779435,259.52272,293.09014,Terran,1,Warm,1,0.96836238,Teegarden's Star,15.13,3.83078,3034,0.1,0.12,M,0.0007227698,0.072587822
