Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
OGLE-2016-BLG-1227L b,Microlensing,250,13.9,,3.4,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,,,,Jovian,0,,0,,OGLE-2016-BLG-1227L,,,,0.1,,,,
Kepler-276 c,Transit,16.6,2.9,31.884,0.1994,1.9738407,0.68063471,0.0049288871,0.1994,0.1994,0.1994,20.490365,541.98483,,Neptunian,0,Hot,0,0.27203194,Kepler-276,15.481,1144.86,5779,1.1,1.03,G,0.81470428,2.4370462
Kepler-829 b,Transit,5.1,2.11,6.8833756,0.0678,1.1455268,0.54290371,0.0011752483,0.0678,0.0678,0.0678,238.52868,1001.1171,1130.6044,Superterran,0,Hot,0,0.25476271,Kepler-829,14.973,1073.76,5698,0.98,0.97,G,1.0964782,2.8272471
K2-283 b,Transit,12.2,3.52,1.921036,0.0291,0.98463326,0.27972536,0.00069662894,0.0291,0.0291,0.0291,353.35726,1104.4682,,Neptunian,0,Hot,0,0.19390612,K2-283,14.364,402.915,5060,0.89,0.82,K,0.29922646,1.4769431
Kepler-477 b,Transit,4.94,2.07,11.119907,0.0911,1.1528857,0.55694962,0.0016256967,0.0911,0.0911,0.0911,51.163853,681.30334,769.42507,Superterran,0,Hot,0,0.27672114,Kepler-477,13.835,367,5240,0.87,0.79,K,0.42461956,1.7593967
TOI-1260 c,Transit,13.2,2.76,7.493134,0.0657,1.7328292,0.62783668,0.0017661962,0.0657,0.0657,0.0657,29.91364,595.75408,,Neptunian,0,Hot,0,0.26044049,TOI-1260,11.922,73.5977,4227,0.68,0.67,K,0.12912193,0.97020557
HD 149143 b,Radial Velocity,422.7139,13.6,4.07182,0.053,2.2854341,0.16804663,0.0036815914,0.053007391,0.0521149,0.0538851,797.0927,1353.4874,,Jovian,0,Hot,0,0.067319209,HD 149143,7.89,73.2801,5856,1.2,1.44,G,2.2387211,4.0398363
HD 99492 b,Radial Velocity,25.5,5.44,17.0503,0.12,0.86167279,0.15839573,0.0036028875,0.12006936,0.11592,0.12408,23.274946,559.40675,,Neptunian,0,Hot,0,0.18841577,HD 99492,7.56727,18.2038,4929,0.85,0.82,K,0.33496544,1.5626574
nu Oph c,Radial Velocity,7838.3235,12,3180.6,5.829,54.432802,4.5360668,0.69063728,5.9223835,4.785609,6.872391,2.3490021,313.45519,,Jovian,0,Hot,0,0.3373425,nu Oph,3.31216,46.2107,4887,2.61,12.24,K,78.523563,23.925651
75 Cet b,Radial Velocity,787.89662,13.3,696.62,1.912,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,14.220357,493.87889,,Jovian,0,Hot,0,0.13562122,75 Cet,5.3532,82.9613,4809,1.92,10.38,G,51.760683,19.425122
